_RAJ2000,_DEJ2000,Star,RAJ2000,DEJ2000,o_Vmag,Vmag,e_Vmag,B-V,e_B-V,U-B,e_U-B,V-R,e_V-R,R-I,e_R-I,V-I,e_V-I,Nd,Omag,Emag,Jmag,Fmag,Nmag
103.1167,-0.2286,98 1102,06 52 28,-00 13 43,15,12.11299991607666,0.0034000000450760126,0.3140000104904175,0.0026000000070780516,0.08900000154972076,0.005900000222027302,0.19300000369548798,0.0026000000070780516,0.19499999284744263,0.003599999938160181,0.3880000114440918,0.005200000014156103,8,12.050000190734863,11.770000457763672,11.949999809265137,11.760000228881836,11.680000305175781
103.1458,-0.2564,98 1112,06 52 35,-00 15 23,5,13.975000381469727,0.0066999997943639755,0.8140000104904175,0.004000000189989805,0.28600001335144043,0.015200000256299973,0.4429999887943268,0.005400000140070915,0.4309999942779541,0.003100000089034438,0.8740000128746033,0.007600000128149986,2,15.0,13.880000114440918,15.220000267028809,13.880000114440918,13.399999618530273
103.1542,-0.2425,98 1119,06 52 37,-00 14 33,7,11.878000259399414,0.002300000051036477,0.5509999990463257,0.003800000064074993,0.0689999982714653,0.00419999985024333,0.31200000643730164,0.0019000000320374966,0.29899999499320984,0.00419999985024333,0.6110000014305115,0.0044999998062849045,4,12.84000015258789,11.460000038146973,12.359999656677246,11.40999984741211,11.029999732971191
103.1583,-0.2761,98 1124,06 52 38,-00 16 34,24,13.706999778747559,0.0035000001080334187,0.3149999976158142,0.00430000014603138,0.257999986410141,0.00800000037997961,0.17299999296665192,0.002899999963119626,0.20100000500679016,0.005100000184029341,0.37299999594688416,0.00570000009611249,12,14.279999732971191,14.140000343322754,14.710000038146973,14.140000343322754,13.550000190734863
103.1583,-0.2847,98 1122,06 52 38,-00 17 05,25,14.09000015258789,0.0034000000450760126,0.5950000286102295,0.006000000052154064,-0.296999990940094,0.007400000002235174,0.37599998712539673,0.003800000064074993,0.44200000166893005,0.00279999990016222,0.8159999847412109,0.004600000102072954,12,14.890000343322754,14.25,15.1899995803833,14.25,13.489999771118164
103.1583,-0.3228,98 724,06 52 38,-00 19 22,12,11.118000030517578,0.0035000001080334187,1.1039999723434448,0.0035000001080334187,0.9039999842643738,0.005200000014156103,0.574999988079071,0.002300000051036477,0.5270000100135803,0.002300000051036477,1.1030000448226929,0.003800000064074993,7,12.0600004196167,10.369999885559082,11.430000305175781,10.319999694824219,9.859999656677246
103.1667,-0.2878,98 733,06 52 40,-00 17 16,20,12.23799991607666,0.0034000000450760126,1.284999966621399,0.00419999985024333,1.0870000123977661,0.006000000052154064,0.6980000138282776,0.002899999963119626,0.6499999761581421,0.002199999988079071,1.347000002861023,0.004000000189989805,10,13.859999656677246,12.399999618530273,14.029999732971191,12.399999618530273,10.970000267028809
111.05,-0.5294,RU 149G,07 24 12,-00 31 46,18,12.829000473022461,0.0026000000070780516,0.5410000085830688,0.004000000189989805,0.032999999821186066,0.00419999985024333,0.32199999690055847,0.002099999925121665,0.32199999690055847,0.0026000000070780516,0.6449999809265137,0.004000000189989805,12,13.4399995803833,12.789999961853027,13.619999885559082,12.789999961853027,12.279999732971191
111.0583,-0.5456,RU 149A,07 24 14,-00 32 44,18,14.494999885559082,0.006599999964237213,0.2980000078678131,0.005200000014156103,0.11800000071525574,0.011099999770522118,0.19599999487400055,0.00989999994635582,0.19599999487400055,0.008500000461935997,0.39100000262260437,0.013899999670684338,12,14.630000114440918,14.460000038146973,14.720000267028809,14.460000038146973,13.880000114440918
111.0625,-0.5161,RU 149F,07 24 15,-00 30 58,19,13.470999717712402,0.00279999990016222,1.1150000095367432,0.007799999788403511,1.024999976158142,0.022299999371170998,0.593999981880188,0.002099999925121665,0.5379999876022339,0.002300000051036477,1.1319999694824219,0.0034000000450760126,11,14.680000305175781,13.220000267028809,14.579999923706055,13.220000267028809,12.359999656677246
